Gene: TRAK2; ID:  66008
Gene: OGT; ID:  8473
Gene: GABRB2; ID:  2561
Gene: KCNJ2; ID:  3759
Gene: TRAK1; ID:  22906
Gene: NUP98; ID:  4928
Gene: ELAVL1; ID:  1994
Gene: OFD1; ID:  8481
Gene: FAM83D; ID:  81610
Gene: HOOK1; ID:  51361
Gene: FOXK1; ID:  221937
Gene: KLC2; ID:  64837
Gene: KLC4; ID:  89953
Gene: NEDD1; ID:  121441
Gene: KIF1B; ID:  23095
Gene: PRKAB2; ID:  5565
Gene: PRKAA1; ID:  5562
Gene: PRKAG1; ID:  5571
Gene: PLK1; ID:  5347
Gene: MTX2; ID:  10651
Gene: MAP7D3; ID:  79649
Gene: RHOT1; ID:  55288
Gene: KLC1; ID:  3831
Gene: KIF5C; ID:  3800
Gene: KIF5B; ID:  3799
Gene: KIF5A; ID:  3798
Gene: TRIM71; ID:  131405
Gene: C14orf80; ID:  283643
Gene: GSK3B; ID:  2932
Gene: GSK3A; ID:  2931
Gene: CARD19; ID:  84270
Gene: ACAD11; ID:  84129
Gene: CKAP2; ID:  26586
Gene: IQCB1; ID:  9657
Gene: XPO1; ID:  7514
Gene: SNAPIN; ID:  23557
Gene: DTNBP1; ID:  84062
Gene: CYP2C9; ID:  1559
Gene: POR; ID:  5447
Gene: CDC37; ID:  11140
Gene: RNF32; ID:  140545
Gene: RAB3D; ID:  9545
Gene: MAST1; ID:  22983
Gene: STAT5A; ID:  6776
Gene: STAMBP; ID:  10617
Gene: CYP2D6; ID:  1565
Gene: ECSIT; ID:  51295
Gene: CYP2C18; ID:  1562
Gene: CYP2C19; ID:  1557
Gene: CYP3A4; ID:  1576
Gene: ADGRE5; ID:  976
Gene: TOMM40; ID:  10452
Gene: OPTN; ID:  10133
Gene: RAB8A; ID:  4218
Gene: FLII; ID:  2314
Gene: GTF3A; ID:  2971
Gene: RAB11B; ID:  9230
Gene: WASHC3; ID:  51019
Gene: TBC1D17; ID:  79735
Gene: FOS; ID:  2353
Gene: HTT; ID:  3064
Gene: RNF11; ID:  26994
Gene: WDR20; ID:  91833
Gene: TBK1; ID:  29110
Gene: PHLPP1; ID:  23239
Gene: UQCRQ; ID:  27089
Gene: SYNGAP1; ID:  8831
Gene: PPARG; ID:  5468
Gene: CENPB; ID:  1059
Gene: EBNA1BP2; ID:  10969
Gene: EIF4G2; ID:  1982
Gene: SLF2; ID:  55719
Gene: GNAS; ID:  2778
Gene: NDUFAF2; ID:  91942
Gene: RPL37A; ID:  6168
Gene: HSPA9; ID:  3313
Gene: MACF1; ID:  23499
Gene: RTN3; ID:  10313
Gene: FAM175B; ID:  23172
Gene: ZMAT2; ID:  153527
Gene: TNIP1; ID:  10318
Gene: PIAS4; ID:  51588
Gene: CYLD; ID:  1540
Gene: RIPK1; ID:  8737
Gene: CDC23; ID:  8697
Gene: LNX2; ID:  222484
Gene: FAM189A2; ID:  9413
Gene: KCTD17; ID:  79734
Gene: CALM1; ID:  801
Gene: YWHAQ; ID:  10971
Gene: EIF5A2; ID:  56648
Gene: MPP6; ID:  51678
Gene: YWHAG; ID:  7532
Gene: YWHAH; ID:  7533
Gene: YWHAZ; ID:  7534
Gene: YWHAB; ID:  7529
Gene: ZNF384; ID:  171017
Gene: MPP1; ID:  4354
Gene: TAX1BP1; ID:  8887
Gene: CDKN1A; ID:  1026
Gene: CNTN2; ID:  6900
Gene: SLMAP; ID:  7871
Gene: VCP; ID:  7415
Gene: ZNF426; ID:  79088
Gene: UBB; ID:  7314
Gene: TTN; ID:  7273
Gene: VWF; ID:  7450
Gene: SNX6; ID:  58533
Gene: CMYA5; ID:  202333
Gene: ZNF302; ID:  55900
Gene: DYSF; ID:  8291
Gene: ZNF181; ID:  339318
Gene: ZNF711; ID:  7552
Gene: FTH1; ID:  2495
Gene: MYH3; ID:  4621
Gene: CLTC; ID:  1213
Gene: DST; ID:  667
Gene: AKAP6; ID:  9472
Gene: DZIP1; ID:  22873
Gene: KANSL1L; ID:  151050
Gene: NEB; ID:  4703
Gene: MAP1LC3A; ID:  84557
Gene: GABARAPL1; ID:  23710
Gene: GABARAPL2; ID:  11345
Gene: TFRC; ID:  7037
Gene: ASAP1; ID:  50807
Gene: GRM1; ID:  2911
Gene: MYO6; ID:  4646
Gene: TRADD; ID:  8717
Gene: RAB4A; ID:  5867
Gene: TRAF3; ID:  7187
Gene: MAP1LC3B; ID:  81631
Gene: GABARAP; ID:  11337
Gene: TNFRSF1A; ID:  7132
Gene: RAB11A; ID:  8766
Gene: TNF; ID:  7124
Gene: BRE; ID:  9577
Gene: SOD1; ID:  6647
Gene: RAB14; ID:  51552
Gene: EPS15; ID:  2060
Gene: ZDHHC17; ID:  23390
Gene: RAB12; ID:  201475
Gene: RAB10; ID:  10890
Gene: SQSTM1; ID:  8878
Gene: HACE1; ID:  57531
Gene: RAB25; ID:  57111
Gene: ZNF670; ID:  93474
Gene: PARK2; ID:  5071
Gene: TBC1D15; ID:  64786
Gene: ZNF398; ID:  57541
Gene: ZNF329; ID:  79673
Gene: DAZAP2; ID:  9802
Gene: RAB3IL1; ID:  5866
Gene: STX12; ID:  23673
Gene: HSPB1; ID:  3315
Gene: NRL; ID:  4901
Gene: MAP1LC3C; ID:  440738
Gene: RBM12; ID:  10137
Gene: LITAF; ID:  9516
Gene: IKBKG; ID:  8517
Gene: TRIM16; ID:  10626
Gene: CASP8; ID:  841
Gene: ATG5; ID:  9474
Gene: AIMP1; ID:  9255
Gene: ZMYM6; ID:  9204
Gene: MYH6; ID:  4624
Gene: C16orf96; ID:  342346
Gene: ABCE1; ID:  6059
Gene: PPP1CA; ID:  5499
Gene: KRT6A; ID:  3853
Gene: PTN; ID:  5764
Gene: PCM1; ID:  5108
Gene: HSBP1; ID:  3281
Gene: NUP62; ID:  23636
Gene: NDC80; ID:  10403
Gene: ABI2; ID:  10152
Gene: MCRS1; ID:  10445
Gene: BLOC1S6; ID:  26258
Gene: LUC7L2; ID:  51631
Gene: PBXIP1; ID:  57326
Gene: LAMC1; ID:  3915
Gene: GDF9; ID:  2661
Gene: SNAP25; ID:  6616
Gene: RB1CC1; ID:  9821
Gene: CKAP4; ID:  10970
Gene: HAUS1; ID:  115106
Gene: WASHC5; ID:  9897
Gene: WASHC2C; ID:  253725
Gene: WASHC2A; ID:  387680
Gene: WASHC4; ID:  23325
Gene: TXLNB; ID:  167838
Gene: KDM1A; ID:  23028
Gene: CAPZA2; ID:  830
Gene: IFT20; ID:  90410
Gene: SDCBP; ID:  6386
Gene: MOB1B; ID:  92597
Gene: CEP55; ID:  55165
Gene: TXLNA; ID:  200081
Gene: CCHCR1; ID:  54535
Gene: SYCE1; ID:  93426
Gene: GOLGA2; ID:  2801
Gene: CEP128; ID:  145508
Gene: SCLT1; ID:  132320
Gene: GGA1; ID:  26088
Gene: POC1A; ID:  25886
Gene: MGAT4A; ID:  11320
Gene: COG6; ID:  57511
Gene: ZFP1; ID:  162239
Gene: WASF2; ID:  10163
Gene: WASF3; ID:  10810
Gene: IER3IP1; ID:  51124
Gene: BRK1; ID:  55845
Gene: BLOC1S4; ID:  55330
Gene: RNF20; ID:  56254
Gene: RABGAP1; ID:  23637
Gene: BANP; ID:  54971
Gene: TBC1D2B; ID:  23102
Gene: BICD2; ID:  23299
Gene: RNF40; ID:  9810
Gene: SETDB1; ID:  9869
Gene: ATG13; ID:  9776
Gene: GCC2; ID:  9648
Gene: WASF1; ID:  8936
Gene: ULK1; ID:  8408
Gene: TRAF6; ID:  7189
Gene: BLOC1S2; ID:  282991
Gene: POC1B; ID:  282809
Gene: IL18; ID:  3606
Gene: IKBIP; ID:  121457
Gene: HSF2; ID:  3298
Gene: GOLGA4; ID:  2803
Gene: GOLGA3; ID:  2802
Gene: BLOC1S1; ID:  2647
Gene: ATG101; ID:  60673
Gene: IST1; ID:  9798
Gene: APEH; ID:  327
Gene: ATXN1; ID:  6310
Gene: CAPN7; ID:  23473
Gene: ANAPC2; ID:  29882
Gene: FZR1; ID:  51343
Gene: CDC20; ID:  991
Gene: CHMP1B; ID:  57132
Gene: VCAM1; ID:  7412
Gene: SPAST; ID:  6683
Gene: ATP6V1A; ID:  523
Gene: MAT1A; ID:  4143
Gene: HSPA5; ID:  3309
Gene: ATP6V1B1; ID:  525
Gene: BTF3L4; ID:  91408
Gene: TIMM13; ID:  26517
Gene: FN1; ID:  2335
Gene: ERGIC1; ID:  57222
Gene: ITGA4; ID:  3676
Gene: HEY2; ID:  23493
Gene: UBQLN1; ID:  29979
Gene: CHMP1A; ID:  5119
