,X,Y,Z
0,0.15656205436335374,0.12741291525979476,0.32612069911946484
1,0.12532882969056533,-0.0960335348322552,0.23522277846747375
2,0.1122432252719764,-0.03409883585048982,-0.06705836821125824
3,0.29100854105941204,0.08808948100456239,0.1593047576079625
4,0.059789756478885216,0.350983296701396,0.6198450619201864
5,0.2674159397076241,0.3727407320026231,0.7168597185247859
6,0.16574533131760472,0.30388563067588514,0.7643545455283232
7,0.3237783991149246,-0.05131443200355994,0.1776922397705415
8,-0.07962232216657782,-0.08125525516707162,-0.0196702923089192
9,0.16679284789734508,-0.26193702588020534,-0.3068254943239697
10,0.1948547261766641,0.4338963032275891,0.5560264793032405
11,0.48827622998489617,0.16329586755911588,0.5742934103642984
12,0.45689353915860764,0.2637294595347908,0.28411727898880906
13,0.09396434508518126,-0.003253016495399448,0.05531503612320513
14,-0.30786918864012497,-0.46741282664548334,-0.31171821313264336
15,-0.16724730226602463,-0.43497969274359205,-0.46703739431332647
16,0.2637371775340334,0.45428348987703115,1.0
17,0.08634426612780362,-0.09029361981792573,0.5348260620847748
18,-0.4724284059111132,-0.31581691997532474,-0.2616232431670689
19,-0.08298657849972317,-0.06528663307823021,0.14236324612092463
20,-0.3955537369146853,-0.34511852769275647,-0.4795419115011532
21,0.2822402711877202,-0.12588336195872135,0.48775930840631815
22,-0.49457633143117863,-0.1507702414637009,-0.38987068835475946
23,-0.24413005858225856,0.037805866866409465,-0.5087520407888715
24,-0.07370687913650177,0.38170089900238,-0.4602885244719845
25,-0.23113319346788402,0.322345908735162,-0.4961054276670448
26,-0.1972001185777077,-0.278755796661637,-0.7123331854677923
27,-0.04495869027813965,0.11523344391180587,-0.4035066210703856
28,0.09832570272585547,0.007911402243121,-0.3289854436776236
29,-0.2676353300018361,-0.1588605554802148,-0.5896301053692792
30,-0.10884115371830266,-0.26068682587502523,-0.029851843152268118
31,-0.07395379569662018,0.147356289500006,-0.20599083400617885
32,-0.23560158353409988,-0.18619789292408576,-0.29488370863248453
33,-0.1558565140596773,-0.1627159915559929,-0.3004272827132976
